"user_id","song","first_name","last_name"
"88","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","Mohammad","Rodriguez"
"88","Woodstock Inprovisation","Mohammad","Rodriguez"
"88","Majesty (LP Version)","Mohammad","Rodriguez"
"38","Love Shack","Gianna","Jones"
"38","Frisch und g'sund","Gianna","Jones"
"38","Look At Me","Gianna","Jones"
"8","Ya EntendÃÂ­","Kaylee","Summers"
"8","All Tomorrow's Parties","Kaylee","Summers"
"8","Psst!","Kaylee","Summers"
"8","There's Your Trouble","Kaylee","Summers"
"8","Given Up (Album Version)","Kaylee","Summers"
"66","Take Her Out","Kevin","Arellano"
"69","My Boy Builds Coffins","Anabelle","Simpson"
"52","The Mystery Zone","Theodore","Smith"
"86","Would?","Aiden","Hess"
"86","Colorblind","Aiden","Hess"
"50","End Of The Line","Ava","Robinson"
"49","Relax","Chloe","Cuevas"
"49","The Decline","Chloe","Cuevas"
"49","Word Up!","Chloe","Cuevas"
"24","Look Outside","Layla","Griffin"
"24","Won't Do","Layla","Griffin"
"24","Never Gonna Let You Go","Layla","Griffin"
"24","En Lo Puro No Hay Futuro","Layla","Griffin"
"24","I Told You So","Layla","Griffin"
"5","Je T'aime Till My Dying Day","Elijah","Davis"
"24","The Trouble With Love Is","Layla","Griffin"
"24","Put 'Em On","Layla","Griffin"
"5","Tales of Girls_ Boys and Marsupials (album version)","Elijah","Davis"
"5","Skin Is_ My","Elijah","Davis"
"24","Just Came Back","Layla","Griffin"
"16","La Casita Blanca","Rylan","George"
"24","Fading Like A Flower (Extended Mix)","Layla","Griffin"
"24","Sirena","Layla","Griffin"
"24","The Other Way Round (Feat. China Moses)","Layla","Griffin"
"86","La Bamba","Aiden","Hess"
"86","We All Got Out (of the Army)","Aiden","Hess"
"86","Brother Oh Brother","Aiden","Hess"
"86","Did it Again","Aiden","Hess"
"86","The Pig","Aiden","Hess"
"49","Listen To Your Heart","Chloe","Cuevas"
"49","Yo Tomo","Chloe","Cuevas"
"49","Quicksand","Chloe","Cuevas"
"49","Center Of The Sun","Chloe","Cuevas"
"49","On Your Side","Chloe","Cuevas"
"49","I'm Real","Chloe","Cuevas"
"49","Drugs Or Me","Chloe","Cuevas"
"49","Hurricanes","Chloe","Cuevas"
"49","Secrets","Chloe","Cuevas"
"49","The Best Of Both Worlds","Chloe","Cuevas"
"36","Laat Me.","Matthew","Jones"
"36","Why Can't This Be Love (Remastered Version)","Matthew","Jones"
"50","All I Need","Ava","Robinson"
"36","Down In The Past","Matthew","Jones"
"50","Sugar Sugar","Ava","Robinson"
"36","Apologize","Matthew","Jones"
"36","Lady In Black","Matthew","Jones"
"36","Win-san Western","Matthew","Jones"
"36","Tonight The Heartache's On Me","Matthew","Jones"
"36","Sublime","Matthew","Jones"
"26","CafÃÂ© Del Mar","Ryan","Smith"
"36","Killamangiro","Matthew","Jones"
"26","Home (Album Version)","Ryan","Smith"
"36","Born To Be Wild","Matthew","Jones"
"26","oxygene 2","Ryan","Smith"
"36","Undo","Matthew","Jones"
"36","Alexithymia","Matthew","Jones"
"36","Master Of Puppets","Matthew","Jones"
"36","Hide & Seek","Matthew","Jones"
"49","Long Time Gone  (LP Version)","Chloe","Cuevas"
"49","Scotch & Chocolate","Chloe","Cuevas"
"36","Guinnesses (feat. Angelika & 4ize)","Matthew","Jones"
"26","The Otherside (Acoustic Version)","Ryan","Smith"
"49","War Of The Sexes","Chloe","Cuevas"
"36","Victoria (LP Version)","Matthew","Jones"
"49","Reclaimer","Chloe","Cuevas"
"36","It's Only Life","Matthew","Jones"
"49","Somebody To Love","Chloe","Cuevas"
"36","Head Honcho","Matthew","Jones"
"49","Three Seed","Chloe","Cuevas"
"36","Winter Wonderland","Matthew","Jones"
"49","Does It Float","Chloe","Cuevas"
"36","Contrat De Conscience","Matthew","Jones"
"49","Pocket","Chloe","Cuevas"
"36","Train To Skaville","Matthew","Jones"
"49","Dance Me To The End Of Love","Chloe","Cuevas"
"36","I'm Into Something Good","Matthew","Jones"
"36","Tide Is High (Es Geht Auch Anders Mix)","Matthew","Jones"
"49","Gears","Chloe","Cuevas"
"36","Greece 2000","Matthew","Jones"
"49","Deja Vu","Chloe","Cuevas"
"36","It's Just A Thought","Matthew","Jones"
"49","Dog Days Are Over (Radio Edit)","Chloe","Cuevas"
"36","Seaside","Matthew","Jones"
"36","Don't Go (Live)","Matthew","Jones"
"49","Macrotus","Chloe","Cuevas"
"36","Scarborough Fair","Matthew","Jones"
"36","Hello Sunshine","Matthew","Jones"
"49","Supermassive Black Hole (Twilight Soundtrack Version)","Chloe","Cuevas"
"36","Shiver","Matthew","Jones"
"49","Tears In Heaven","Chloe","Cuevas"
"36","What If (Film Version)","Matthew","Jones"
"49","The Enemy (Album Version)","Chloe","Cuevas"
"36","Punch Drunk Grinning Soul","Matthew","Jones"
"49","Quutamo","Chloe","Cuevas"
"36","Mouthful Of Cavities","Matthew","Jones"
"49","In A Dead World (Album Version)","Chloe","Cuevas"
"36","Let It Out","Matthew","Jones"
"49","Let's Get It Started","Chloe","Cuevas"
"36","Don't Panic","Matthew","Jones"
"36","The Power of Orange Knickers","Matthew","Jones"
"36","Summer Night City","Matthew","Jones"
"36","Hit 'Em Up Style (Oops!)","Matthew","Jones"
"36","Let It Go","Matthew","Jones"
"36","Can't Stop","Matthew","Jones"
"36","The Gift","Matthew","Jones"
"36","Lazy Eye [Jason Bentley Remix]","Matthew","Jones"
"88","Drove Through Ghosts to Get Here","Mohammad","Rodriguez"
"36","Se Me OlvidÃÂ³ Que Te OlvidÃÂ©","Matthew","Jones"
"36","Soul Of A Vagabond","Matthew","Jones"
"88","BedRock (Radio Edit) (feat.Lloyd)","Mohammad","Rodriguez"
"88","(Keep Feeling) Fascination (2003 Digital Remaster)","Mohammad","Rodriguez"
"36","Aldebaran","Matthew","Jones"
"88","Eu Te Amo","Mohammad","Rodriguez"
"36","In The House Of Tom Bombadil","Matthew","Jones"
"28","Crawling (Album Version)","Brantley","West"
"88","King Without A Crown","Mohammad","Rodriguez"
"36","Wotan's Farewell & Magic Fire Music","Matthew","Jones"
"88","Someone To Share My Life With","Mohammad","Rodriguez"
"88","Take California","Mohammad","Rodriguez"
"80","Human After All (SebastiAn Remix )","Tegan","Levine"
"88","Home","Mohammad","Rodriguez"
"80","I Want You Now","Tegan","Levine"
"88","Untrust us","Mohammad","Rodriguez"
"80","Busted","Tegan","Levine"
"36","The Way I Are","Matthew","Jones"
"88","Nascita Of The Monsters","Mohammad","Rodriguez"
"80","Lullaby [With Ladysmith Black Mambazo] (Album Version)","Tegan","Levine"
"36","Hers is the twilight","Matthew","Jones"
"80","ReprÃÂ©sente","Tegan","Levine"
"80","Tomorrow","Tegan","Levine"
"36","Don't Ask","Matthew","Jones"
"36","Let's Work","Matthew","Jones"
"88","Arguru","Mohammad","Rodriguez"
"88","Yeah!","Mohammad","Rodriguez"
"36","Learn to Talk","Matthew","Jones"
"88","Por Amarte AsÃÂ­","Mohammad","Rodriguez"
"36","Undo","Matthew","Jones"
"88","Probably Wouldn't Be This Way (Dann Huff remix)","Mohammad","Rodriguez"
"36","Addicted To Your Love","Matthew","Jones"
"80","Rock The House (Radio Edit)","Tegan","Levine"
"88","Used To Love Her","Mohammad","Rodriguez"
"36","Phantastica","Matthew","Jones"
"80","Soldier","Tegan","Levine"
"88","Relief Next To Me (Album Version)","Mohammad","Rodriguez"
"36","Undo","Matthew","Jones"
